threshold,coverage,n_trades,n_buy,n_sell,win_rate,precision,avg_pnl,total_pnl,sharpe_estimate,passes_min_precision
0.5,1.0,606,97,509,0.5,0.5,0.10231747524290075,62.004389997197855,2.4331549197040827,False
0.52,1.0,606,97,509,0.5,0.5,0.10231747524290075,62.004389997197855,2.4331549197040827,False
0.54,1.0,606,97,509,0.5,0.5,0.10231747524290075,62.004389997197855,2.4331549197040827,False
0.56,1.0,606,97,509,0.5,0.5,0.10231747524290075,62.004389997197855,2.4331549197040827,False
0.58,1.0,606,97,509,0.5,0.5,0.10231747524290075,62.004389997197855,2.4331549197040827,False
0.6,1.0,606,97,509,0.5,0.5,0.10231747524290075,62.004389997197855,2.4331549197040827,False
0.62,1.0,606,97,509,0.5,0.5,0.10231747524290075,62.004389997197855,2.4331549197040827,False
0.64,1.0,606,97,509,0.5,0.5,0.10231747524290075,62.004389997197855,2.4331549197040827,False
0.66,1.0,606,97,509,0.5,0.5,0.10231747524290075,62.004389997197855,2.4331549197040827,False
0.68,0.9818481848184818,595,88,507,0.49747899159663866,0.49747899159663866,0.09991559504659273,59.449779052722675,2.342977616392951,False
0.7,0.900990099009901,546,87,459,0.5201465201465202,0.5201465201465202,0.1387215635577951,75.74197370255612,3.0724830083449457,False
