iter	Logloss
0	0.6890837694
1	0.685037745
2	0.6803824236
3	0.6751468175
4	0.6705950211
5	0.6661249522
6	0.6605310708
7	0.6564103658
8	0.6519911091
9	0.6484563892
10	0.6435610268
11	0.6391395214
12	0.6352128789
13	0.6313328725
14	0.6275563794
15	0.6245696908
16	0.6176178364
17	0.6124893974
18	0.6084806754
19	0.6055727974
20	0.6026278878
21	0.5995635125
22	0.5960216846
23	0.5925067612
24	0.5904375081
25	0.5874648338
26	0.5853719293
27	0.5828582646
28	0.5799429075
29	0.5777519827
30	0.57367255
31	0.5711511313
32	0.5678348311
33	0.5639811203
34	0.5592143597
35	0.5548239505
36	0.55232727
37	0.5493827819
38	0.547195959
39	0.5447989454
40	0.5423576229
41	0.5375019342
42	0.5352541879
43	0.5314369633
44	0.529431945
45	0.5273063401
46	0.5251438184
47	0.5219788885
48	0.5197364439
49	0.5173504473
50	0.5147538478
51	0.5129443359
52	0.5103400903
53	0.5073309062
54	0.5040627479
55	0.5022792303
56	0.4997950296
57	0.4974478457
58	0.494446966
59	0.4918043648
60	0.4887031274
61	0.4857263426
62	0.4838777525
63	0.4818664331
64	0.4799163448
65	0.4781301462
66	0.47650341
67	0.4753027355
68	0.4731552095
69	0.470726962
70	0.4685249523
71	0.4649785036
72	0.4619607071
73	0.4602022371
74	0.4579079161
75	0.4561291312
76	0.4545944602
77	0.4531998382
78	0.4501770735
79	0.4484295116
80	0.4469084727
81	0.4452547342
82	0.4436474524
83	0.4417654553
84	0.4404942257
85	0.4388061369
86	0.4365643543
87	0.435672815
88	0.4343809957
89	0.4318189409
90	0.4306488584
91	0.4286751297
92	0.4271848882
93	0.4255280244
94	0.4231414542
95	0.4214683195
96	0.420083037
97	0.418957998
98	0.4176015883
99	0.4167045067
