iter	Passed	Remaining
0	2	278
1	4	228
2	6	209
3	8	199
4	10	191
5	11	184
6	13	181
7	15	177
8	17	173
9	18	170
10	20	166
11	22	164
12	24	163
13	26	161
14	28	159
15	29	157
16	31	154
17	33	153
18	35	150
19	37	148
20	38	146
21	40	143
22	42	142
23	44	140
24	46	139
25	48	137
26	50	136
27	52	134
28	54	133
29	56	130
30	57	128
31	59	126
32	61	124
33	64	125
34	66	123
35	68	121
36	69	118
37	71	116
38	73	114
39	75	112
40	76	110
41	78	108
42	80	106
43	83	105
44	84	103
45	86	101
46	88	99
47	89	97
48	91	95
49	93	93
50	95	91
51	96	89
52	98	87
53	100	85
54	102	83
55	103	81
56	105	79
57	107	77
58	109	75
59	111	74
60	112	72
61	114	70
62	116	68
63	118	66
64	119	64
65	121	62
66	123	60
67	125	58
68	126	56
69	128	55
70	130	53
71	132	51
72	134	49
73	135	47
74	137	45
75	139	44
76	141	42
77	143	40
78	144	38
79	146	36
80	148	34
81	150	32
82	152	31
83	153	29
84	155	27
85	157	25
86	159	23
87	161	21
88	162	20
89	164	18
90	166	16
91	168	14
92	169	12
93	171	10
94	173	9
95	175	7
96	177	5
97	178	3
98	180	1
99	182	0
